시도,구시군,선거인수,투표수,득표수_1_민주자유당_김영삼,득표수_2_민주당_김대중,득표수_3_통일국민당_정주영,득표수_4_새한국당_이종찬,득표수_5_신정치개혁당_박찬종,득표수_6_대한정의당_이병호,득표수_7_무소속_김옥선,득표수_8_무소속_백기완,득표수_계,무효투표수,기권수
경남,울산시중구,169730,145082,73795,17020,39727,0,11194,100,258,1561,143655,1427,24648
경남,울산시남구,175536,150363,87303,16062,32354,0,11603,109,235,1324,148990,1373,25173
경남,울산시동구,110506,98419,26658,17982,45096,0,6336,78,221,1075,97446,973,12087
경남,마산시합포구,124104,108330,89194,7361,5224,0,4080,44,135,1277,107315,1015,15774
경남,마산시회원구,124599,107933,86489,8757,5683,0,4537,46,153,1278,106943,990,16666
경남,진주시,153251,134337,106479,9678,7653,0,7322,83,230,1734,133179,1158,18914
경남,진해시,79074,71990,56056,6165,4005,0,4079,65,145,752,71267,723,7084
경남,창원군,56126,49469,40911,2987,2370,0,1918,45,118,521,48870,599,6657
경남,충무시,57954,50500,44393,2317,1367,0,1498,22,73,365,50035,465,7454
경남,통영군,31394,27200,24378,800,669,0,621,19,82,215,26784,416,4194
경남,고성군,49730,43726,36985,2348,1596,0,1495,82,127,494,43127,599,6004
경남,삼천포시,41363,35466,28566,2452,1931,0,1614,27,72,365,35027,439,5897
경남,사천군,37863,33266,26582,2606,1611,0,1390,34,107,402,32732,534,4597
경남,김해시,86525,72909,52473,8195,5344,0,5058,41,139,564,71814,1095,13616
경남,김해군,58121,50353,39634,3847,3129,0,2559,39,119,395,49722,631,7768
경남,진양군,52893,46713,37117,3329,2520,0,2138,77,151,688,46020,693,6180
경남,의령군,29830,26332,21153,1719,1388,0,1032,64,134,296,25786,546,3498
경남,함안군,47857,42682,33915,3064,2380,0,1890,54,138,510,41951,731,5175
경남,창녕군,59230,50003,39893,3355,3233,0,2136,67,132,516,49332,671,9227
경남,밀양시,30778,26013,19626,1870,2380,0,1473,16,78,299,25742,271,4765
경남,밀양군,58752,50094,37851,3889,4169,0,2629,71,195,539,49343,751,8658
경남,양산군,117236,96853,68781,9602,9496,0,6454,85,272,986,95676,1177,20383
